,title,year,time(min),genre,rating,metascore,simple_desc,votes,Gross (M$)
30,Seppuku,1962,133,"Action, Drama, Mystery",8.6,85,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",60910,4.0
31,Léon,1994,110,"Action, Crime, Drama",8.5,64,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",1188821,19.5
32,Gisaengchung,2019,132,"Drama, Thriller",8.5,96,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,853741,53.37
33,Back to the Future,1985,116,"Adventure, Comedy, Sci-Fi",8.5,87,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",1237993,210.61
34,The Departed,2006,151,"Crime, Drama, Thriller",8.5,85,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,1355593,132.38
35,Gladiator,2000,155,"Action, Adventure, Drama",8.5,67,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,1535480,187.71
36,Whiplash,2014,106,"Drama, Music",8.5,89,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,903736,13.09
37,The Prestige,2006,130,"Drama, Mystery, Sci-Fi",8.5,66,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",1363871,53.09
38,Alien,1979,117,"Horror, Sci-Fi",8.5,89,The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.,902883,78.9
39,The Lion King,1994,88,"Animation, Adventure, Drama",8.5,88,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",1084613,422.78
