,title,year,time(min),genre,rating,metascore,simple_desc,votes,Gross (M$)
141,Chinatown,1974,130,"Drama, Mystery, Thriller",8.2,92,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.",334595,8.49
142,Gone with the Wind,1939,238,"Drama, Romance, War",8.2,97,A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.,322326,198.68
143,Der Untergang,2004,156,"Biography, Drama, History",8.2,82,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",362253,5.51
144,Monty Python and the Holy Grail,1975,91,"Adventure, Comedy, Fantasy",8.2,91,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",551667,1.23
145,Some Like It Hot,1959,121,"Comedy, Music, Romance",8.2,98,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",273051,25.0
146,The Great Escape,1963,172,"Adventure, Drama, History",8.2,86,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,249407,12.1
147,The Elephant Man,1980,124,"Biography, Drama",8.2,78,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",247784,15.0
148,El secreto de sus ojos,2009,129,"Drama, Mystery, Romance",8.2,80,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,214063,6.39
149,Ran,1985,162,"Action, Drama, War",8.2,97,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",129075,4.14
150,Per qualche dollaro in più,1965,132,"Drama, Western",8.2,74,Two bounty hunters with the same intentions team up to track down an escaped Mexican outlaw.,262686,15.0
151,All About Eve,1950,138,Drama,8.2,98,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,134016,0.01
152,The Treasure of the Sierra Madre,1948,126,"Adventure, Drama, Western",8.2,98,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,127877,5.01
153,Klaus,2019,96,"Animation, Adventure, Comedy",8.2,65,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",166031,17.0
154,Dial M for Murder,1954,105,"Crime, Thriller",8.2,75,A former tennis star arranges the murder of his adulterous wife.,180505,0.01
155,Rashômon,1950,88,"Crime, Drama, Mystery",8.2,98,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",172670,0.1
156,Tôkyô monogatari,1953,136,Drama,8.2,100,"An old couple visit their children and grandchildren in the city, but receive little attention.",64076,20.0
157,Yôjinbô,1961,110,"Action, Drama, Thriller",8.2,93,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,125818,14.0
158,Bacheha-Ye aseman,1997,89,"Drama, Family, Sport",8.2,77,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",76665,0.93
159,Le salaire de la peur,1953,131,"Adventure, Drama, Thriller",8.2,85,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",63145,19.0
160,To Be or Not to Be,1942,99,"Comedy, Romance, War",8.2,86,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",39626,22.0
161,La passion de Jeanne d'Arc,1928,110,"Biography, Drama, History",8.2,98,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",57267,0.02
162,Prisoners,2013,153,"Crime, Drama, Mystery",8.1,70,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",745298,61.0
163,The Help,2011,146,Drama,8.1,62,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",472247,169.71
164,The Grand Budapest Hotel,2014,99,"Adventure, Comedy, Crime",8.1,88,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",838127,59.1
165,Mad Max: Fury Road,2015,120,"Action, Adventure, Sci-Fi",8.1,90,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper and a drifter named Max.",1029603,154.06
166,Ford v Ferrari,2019,152,"Action, Biography, Drama",8.1,81,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,418193,117.62
167,Stand by Me,1986,89,"Adventure, Drama",8.1,75,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",417215,52.29
168,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,"Action, Adventure, Fantasy",8.1,63,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",1153071,305.41
169,Gone Girl,2014,149,"Drama, Mystery, Thriller",8.1,79,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",1008188,167.77
170,Hacksaw Ridge,2016,139,"Biography, Drama, History",8.1,71,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.",549242,67.21
171,The Exorcist,1973,122,Horror,8.1,81,"When a teenage girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter.",421029,232.91
172,Blade Runner,1982,117,"Action, Drama, Sci-Fi",8.1,84,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,787559,32.87
173,The Terminator,1984,107,"Action, Sci-Fi",8.1,84,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.",884997,38.4
174,Jaws,1975,124,"Adventure, Mystery, Thriller",8.1,87,"When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",623596,260.0
175,Catch Me If You Can,2002,141,"Biography, Crime, Drama",8.1,75,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",1020563,164.62
176,The Big Lebowski,1998,117,"Comedy, Crime",8.1,71,"Ultimate L.A. slacker Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for a rug ruined by debt collectors, enlisting his bowling buddies for help while trying to find the millionaire's missing wife.",826859,17.5
177,Trainspotting,1996,93,Drama,8.1,83,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",700898,16.5
178,The Wizard of Oz,1939,102,"Adventure, Family, Fantasy",8.1,92,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.",410235,2.08
179,Ratatouille,2007,111,"Animation, Adventure, Comedy",8.1,96,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,765697,206.45
180,Dead Poets Society,1989,128,"Comedy, Drama",8.1,79,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,509481,95.86
181,Ah-ga-ssi,2016,145,"Drama, Romance, Thriller",8.1,84,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",156853,2.01
182,Harry Potter and the Deathly Hallows: Part 2,2011,130,"Adventure, Family, Fantasy",8.1,85,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",900055,381.01
183,Cool Hand Luke,1967,127,"Crime, Drama",8.1,92,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.",181654,16.22
184,Inside Out,I) (2015,95,"Animation, Adventure, Comedy",8.1,94,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",735843,356.46
185,Logan,2017,137,"Action, Drama, Sci-Fi",8.1,77,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",787009,226.28
186,Rocky,1976,120,"Drama, Sport",8.1,70,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,598006,117.24
187,Into the Wild,2007,148,"Adventure, Biography, Drama",8.1,73,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.",634913,18.35
188,Fargo,1996,98,"Crime, Thriller",8.1,86,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,692481,24.61
189,"Three Billboards Outside Ebbing, Missouri",2017,115,"Comedy, Crime, Drama",8.1,88,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,525795,54.51
190,Spotlight,I) (2015,129,"Biography, Crime, Drama",8.1,93,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",482004,45.06
191,Room,I) (2015,118,"Drama, Thriller",8.1,86,"A little boy is held captive in a room with his mother since his birth, so he has never known the world outside.",431576,14.68
192,"Lock, Stock and Two Smoking Barrels",1998,107,"Action, Comedy, Crime",8.1,66,"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds.",595004,3.9
193,"Monsters, Inc.",2001,92,"Animation, Adventure, Comedy",8.1,79,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.",931557,289.92
194,The Sound of Music,1965,172,"Biography, Drama, Family",8.1,63,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,244456,163.21
195,Salinui chueok,2003,131,"Crime, Drama, Mystery",8.1,82,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",195634,0.01
196,Gran Torino,2008,116,Drama,8.1,72,"After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself.",789337,148.1
197,How to Train Your Dragon,2010,98,"Animation, Action, Adventure",8.1,75,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",760826,217.58
198,Platoon,1986,120,"Drama, War",8.1,92,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",423132,138.53
199,The Deer Hunter,1978,183,"Drama, War",8.1,86,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.,346607,48.98
200,Before Sunrise,1995,101,"Drama, Romance",8.1,77,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",320205,5.54
201,Warrior,2011,140,"Action, Drama, Sport",8.1,71,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",481668,13.66
202,Rush,I) (2013,123,"Action, Biography, Drama",8.1,74,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,490917,26.95
203,12 Years a Slave,2013,134,"Biography, Drama, History",8.1,96,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",715503,56.67
204,Raging Bull,1980,129,"Biography, Drama, Sport",8.1,90,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",363001,23.38
205,Relatos salvajes,2014,122,"Comedy, Drama, Thriller",8.1,77,Six short stories that explore the extremities of human behavior involving people in distress.,205201,3.11
206,Million Dollar Baby,2004,132,"Drama, Sport",8.1,86,"Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close bond.",699780,100.49
207,The Iron Giant,1999,86,"Animation, Action, Adventure",8.1,85,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,208874,23.16
208,Barry Lyndon,1975,185,"Adventure, Drama, War",8.1,89,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,173691,18.0
209,Tonari no Totoro,1988,86,"Animation, Comedy, Family",8.1,86,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",352452,1.11
210,Network,1976,121,Drama,8.1,83,"A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control.",163445,22.0
211,Ben-Hur,1959,212,"Adventure, Drama",8.1,90,"After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge.",245066,74.7
212,Before Sunset,2004,80,"Drama, Romance",8.1,90,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",273749,5.82
213,On the Waterfront,1954,108,"Crime, Drama, Thriller",8.1,91,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims.",158452,9.6
214,Hotel Rwanda,2004,121,"Biography, Drama, History",8.1,79,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",361810,23.53
215,Det sjunde inseglet,1957,96,"Drama, Fantasy",8.1,88,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",189813,20.0
216,Amores perros,2000,154,"Drama, Thriller",8.1,83,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",245321,5.38
217,In the Name of the Father,1993,133,"Biography, Crime, Drama",8.1,84,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,179794,25.01
218,The Bridge on the River Kwai,1957,161,"Adventure, Drama, War",8.1,87,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.",225577,44.91
219,Persona,1966,85,"Drama, Thriller",8.1,86,A nurse is put in charge of a mute actress and finds that their personae are melding together.,123562,24.0
220,Rebecca,1940,130,"Drama, Film-Noir, Mystery",8.1,86,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,140759,4.36
221,It Happened One Night,1934,105,"Comedy, Romance",8.1,87,"A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behind at one of the stops.",107245,4.36
222,The Grapes of Wrath,1940,129,Drama,8.1,96,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression.",96103,0.06
223,The Third Man,1949,104,"Film-Noir, Mystery, Thriller",8.1,97,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",175321,0.45
224,The Best Years of Our Lives,1946,170,"Drama, Romance, War",8.1,93,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed.",67080,23.65
225,Smultronstället,1957,91,"Drama, Romance",8.1,88,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",109960,18.0
226,Mr. Smith Goes to Washington,1939,129,"Comedy, Drama",8.1,73,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character.",117589,9.6
227,La battaglia di Algeri,1966,121,"Drama, War",8.1,96,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",62390,0.06
228,The Incredibles,2004,115,"Animation, Action, Adventure",8.0,90,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.",760911,261.44
229,Dances with Wolves,1990,181,"Adventure, Drama, Western",8.0,72,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, finds himself engaging with a neighbouring Sioux settlement, causing him to question his own purpose.",276365,184.21
230,Aladdin,1992,90,"Animation, Adventure, Comedy",8.0,86,A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,436409,217.35
231,Groundhog Day,1993,101,"Comedy, Drama, Fantasy",8.0,72,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day, and the day keeps repeating until he gets it right.",650252,70.91
232,Life of Brian,1979,94,Comedy,8.0,77,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.",408725,20.05
